iter	Logloss
0	0.68063139
1	0.6681899014
2	0.6556562439
3	0.6462056973
4	0.6362721964
5	0.6281654081
6	0.619607958
7	0.6099423697
8	0.6030896705
9	0.5932835078
10	0.5832383638
11	0.5722698625
12	0.5644427407
13	0.5574165155
14	0.5476260886
15	0.5413203788
16	0.5317856502
17	0.52381321
18	0.5146850515
19	0.5072560788
20	0.4993986359
21	0.4917225929
22	0.483313991
23	0.4755542744
24	0.4683531065
25	0.4608187072
26	0.4535312859
27	0.4479694906
28	0.4413872254
29	0.4361234684
30	0.4310004806
31	0.4243048676
32	0.4172971283
33	0.4117248351
34	0.4056250122
35	0.3996094623
36	0.393743114
37	0.3880347642
38	0.3833315924
39	0.3788850294
40	0.3734423645
41	0.3681569836
42	0.3635933713
43	0.3582525042
44	0.3540435315
45	0.3499395716
46	0.3449298275
47	0.3402881939
48	0.3352969639
49	0.3307619466
50	0.3275433892
51	0.3224202424
52	0.317926521
53	0.3137591874
54	0.3098700228
55	0.3050577454
56	0.3015780842
57	0.2975279617
58	0.2935390645
59	0.2894385921
60	0.2862353133
61	0.2819705165
62	0.2785869225
63	0.2755560184
64	0.2726435641
65	0.269613345
66	0.2661208841
67	0.2634592581
68	0.2605372667
69	0.2579116246
70	0.2556066025
71	0.2527119673
72	0.2499932777
73	0.2469909806
74	0.2441596192
75	0.2418991315
76	0.2390786328
77	0.2365118085
78	0.2338661159
79	0.2317683258
80	0.2298556684
81	0.2276829424
82	0.2252584953
83	0.2228447712
84	0.2206675088
85	0.218856922
86	0.2161217423
87	0.213415342
88	0.2114278107
89	0.2092044867
90	0.2072709059
91	0.2053292689
92	0.2037475558
93	0.2016737218
94	0.1995289875
95	0.1976093606
96	0.1961658756
97	0.1942809717
98	0.192241751
99	0.1902569013
100	0.1885097203
101	0.1868882274
102	0.1854548528
103	0.1838006901
104	0.1820578551
105	0.1803910112
106	0.1786755038
107	0.1772245104
108	0.1755734179
109	0.1741207816
110	0.1720817998
111	0.1706994997
112	0.1692558803
113	0.1682299955
114	0.1667542792
115	0.1648886749
116	0.1640910042
117	0.162488362
118	0.1607855276
119	0.159803524
120	0.1582636675
121	0.1572111038
122	0.1556014943
123	0.1542306129
124	0.1528375472
125	0.1517152649
126	0.1504385109
127	0.1493299623
128	0.1480022909
129	0.147037787
130	0.1457527333
131	0.1444184182
132	0.1435205444
133	0.1422686185
134	0.1408230997
135	0.1395253412
136	0.1384430765
137	0.137542418
138	0.1364515239
139	0.1354188892
140	0.1342514733
141	0.1330675306
142	0.1321919458
143	0.1313762528
144	0.1304329013
145	0.1295177846
146	0.1286662167
147	0.1275246395
148	0.1265501821
149	0.1256338694
150	0.1249239903
151	0.1240436423
152	0.1234407328
153	0.122653083
154	0.1219139205
155	0.1212498503
156	0.120421563
157	0.119599849
158	0.1188012969
159	0.1179873676
160	0.1171076629
161	0.1164248372
162	0.1156431964
163	0.1148652699
164	0.1139401496
165	0.1134092425
166	0.1124845326
167	0.1120101984
168	0.1114459708
169	0.1107695663
170	0.110105745
171	0.1093177526
172	0.1084189827
173	0.107803499
174	0.1069376666
175	0.1061200153
176	0.1052458517
177	0.1044203959
178	0.1037159675
179	0.1028312382
180	0.102057511
181	0.1015268375
182	0.1006621263
183	0.1000677618
184	0.09941862922
185	0.098776763
186	0.09794996455
187	0.09735290489
188	0.09684888489
189	0.0963213126
190	0.09571765757
191	0.09515323511
192	0.09457000569
193	0.09405229305
194	0.09350796506
195	0.09302442112
196	0.09256487273
197	0.09204561157
198	0.09141457408
199	0.09075134181
200	0.09031088148
201	0.08968787761
202	0.08919364604
203	0.0887711743
204	0.08821659752
205	0.08772568389
206	0.08736143092
207	0.08685783237
208	0.08646893515
209	0.08591353657
210	0.08557719372
211	0.08512623433
212	0.08477014532
213	0.08433786662
214	0.08378185124
215	0.08330026377
216	0.08276238254
217	0.08225081947
218	0.08181002288
219	0.0813120936
220	0.0809103562
221	0.08051779312
222	0.08003734033
223	0.07963392128
224	0.0791234788
225	0.07861019634
226	0.07824222289
227	0.07772093913
228	0.07725820299
229	0.07677709967
230	0.07639367534
231	0.07588187997
232	0.07530274896
233	0.07489605997
234	0.07452108737
235	0.07419376707
236	0.07377938578
237	0.07337367641
238	0.07309653026
239	0.07273542741
240	0.07240616263
241	0.07207218885
242	0.0716808673
243	0.0713388331
244	0.07098134217
245	0.07065715487
246	0.07018662195
247	0.06982887559
248	0.0694263185
249	0.06905435804
250	0.06855993947
251	0.06820791788
252	0.06789842105
253	0.06756738624
254	0.06718812498
255	0.06678549073
256	0.06648857524
257	0.0661663688
258	0.06572726958
259	0.06541223217
260	0.06507086231
261	0.06479341733
262	0.06449762866
263	0.06426732912
264	0.0639467805
265	0.06370091498
266	0.06334263375
267	0.06310004171
268	0.06275820286
269	0.06245316528
270	0.06207670607
271	0.06190278218
272	0.06168115895
273	0.0613654627
274	0.06105446861
275	0.06073299972
276	0.0604304361
277	0.0601998725
278	0.05999069304
279	0.05967628452
280	0.05940334971
281	0.05919849951
282	0.05880510616
283	0.05860095198
284	0.05830307171
285	0.0580947745
286	0.05785113657
287	0.05763329263
288	0.05732960036
289	0.05706412573
290	0.05673866346
291	0.05649614024
292	0.05618745688
293	0.05598033395
294	0.0558123311
295	0.05559233823
296	0.05532416734
297	0.05506935972
298	0.05484400335
299	0.05462894419
300	0.05432566451
301	0.05413479027
302	0.05389967409
303	0.05364596029
304	0.05338001499
305	0.05316702416
306	0.05293410216
307	0.05269012868
308	0.05250290094
309	0.05225450051
310	0.05206232414
311	0.05182817967
312	0.05161506543
313	0.05143804415
314	0.05128021418
315	0.05108994262
316	0.0508606859
317	0.0507063686
318	0.05054659716
319	0.0503750387
320	0.05017857431
321	0.0499608019
322	0.04982162578
323	0.04969902964
324	0.04958384372
325	0.0493259655
326	0.04912994657
327	0.04900869962
328	0.04871073907
329	0.04859962528
330	0.04838943818
331	0.04819466473
332	0.04798024061
333	0.0477502731
334	0.04758669293
335	0.04736199512
336	0.04722624812
337	0.04703561149
338	0.04680966748
339	0.04665441509
340	0.0465219739
341	0.04637278205
342	0.04617663025
343	0.0460575859
344	0.04591968527
345	0.04576296552
346	0.04564550495
347	0.0454791092
348	0.04521972934
349	0.04503046784
350	0.04488239561
351	0.04472434407
352	0.04456731426
353	0.04437141771
354	0.04420808207
355	0.04407355792
356	0.04396974062
357	0.04378515165
358	0.04367850849
359	0.04345251775
360	0.0432833644
361	0.04312706728
362	0.04306069856
363	0.04293588109
364	0.04277698422
365	0.04260346008
366	0.04243457579
367	0.04229463235
368	0.04215508978
369	0.04198026896
370	0.04180559468
371	0.04166359427
372	0.04147495082
373	0.04133066144
374	0.04116693314
375	0.04102334819
376	0.04085643998
377	0.04068604777
378	0.04051909305
379	0.04034632819
380	0.04021633299
381	0.04006719016
382	0.03994024552
383	0.03978286401
384	0.03964251103
385	0.03946023593
386	0.03935068255
387	0.03921636528
388	0.03911739926
389	0.03899404245
390	0.03885970295
391	0.03870983926
392	0.03857720124
393	0.03839113733
394	0.03832197821
395	0.03818192477
396	0.03807227725
397	0.03799416728
398	0.03783870448
399	0.03769002628
400	0.03755978324
401	0.0374692389
402	0.0373113905
403	0.0371032531
404	0.03697253711
405	0.0368678476
406	0.03673382091
407	0.03663502912
408	0.03650278701
409	0.03637354262
410	0.03624525583
411	0.03614075756
412	0.03601955172
413	0.03586554799
414	0.03572063845
415	0.03559327517
416	0.03548908989
417	0.0353344831
418	0.03525015163
419	0.03510070903
420	0.03495371571
421	0.03481346122
422	0.03470269347
423	0.03459102659
424	0.03449567753
425	0.03439610557
426	0.03429111712
427	0.03417637524
428	0.03409116778
429	0.03399111191
430	0.03391064061
431	0.0337941768
432	0.03362981061
433	0.03355437357
434	0.03343363865
435	0.03332413917
436	0.03319282757
437	0.03312677917
438	0.03302974743
439	0.03292838485
440	0.03279851326
441	0.03271226964
442	0.03259616705
443	0.03250530903
444	0.03241055371
445	0.03229183879
446	0.03222121933
447	0.03214118959
448	0.03201482863
449	0.03186187484
450	0.03176682242
451	0.03159673601
452	0.03150382601
453	0.03141237376
454	0.03124779096
455	0.03114155558
456	0.03102090016
457	0.03095778311
458	0.03089904683
459	0.03079801815
460	0.03069435761
461	0.03057335429
462	0.03050578371
463	0.03036594582
464	0.03025806892
465	0.03018944982
466	0.03007877792
467	0.02997472627
468	0.02985267904
469	0.02971503515
470	0.02964740485
471	0.02957212963
472	0.02944317073
473	0.02936106524
474	0.02925009608
475	0.02912799979
476	0.02905905018
477	0.02896108582
478	0.02887782553
479	0.02879161599
480	0.02873056065
481	0.02865629655
482	0.02856881171
483	0.028502183
484	0.02840587224
485	0.02835036575
486	0.02830018836
487	0.02824652703
488	0.02817277285
489	0.02809247673
490	0.02801117332
491	0.02790098009
492	0.02783541749
493	0.02774242038
494	0.02769384668
495	0.02763119998
496	0.02756281826
497	0.02748129158
498	0.02740763478
499	0.02732990761
500	0.02726688288
501	0.02718712814
502	0.0270906982
503	0.0270106933
504	0.02691387378
505	0.02683352626
506	0.02674578132
507	0.02667258
508	0.0265888967
509	0.02652337064
510	0.02646054463
511	0.02637391054
512	0.02632658027
513	0.02626555488
514	0.02618307631
515	0.02611280976
516	0.02605243255
517	0.0259861742
518	0.02593704836
519	0.02585988683
520	0.0258198552
521	0.0257310914
522	0.02564782362
523	0.02555207461
524	0.02548569419
525	0.02541693155
526	0.0253456589
527	0.02528902956
528	0.02521777779
529	0.02512981813
530	0.02505099554
531	0.02500420215
532	0.02496080874
533	0.02488685147
534	0.02483160946
535	0.02475498108
536	0.02466981156
537	0.02458872814
538	0.02453258595
539	0.0244872872
540	0.02442226451
